,Time,House1,House2,House3,House4,House5,House11,Total_Load
0,2023-09-18 00:00:00,0.35392624997849026,0.08407828609096901,0.30332782449673173,0.2524265628423357,0.3860854556421192,0.2092381338899746,1.7699252365131581
1,2023-09-18 01:00:00,0.5263200259893067,0.057124093605800924,0.2831087063213462,0.22602944881987155,0.44107092704717366,0.17647298880924794,1.9047440757189407
2,2023-09-18 02:00:00,0.536235704267431,0.08174258074045984,0.28036833409283635,0.21872704558294925,0.48448709445579635,0.1411223396882488,1.9410060652875578
3,2023-09-18 03:00:00,0.5393066830783533,0.08502909941510153,0.27091708715255236,0.20659644718658748,0.43329652234476296,0.12154305629296061,1.8452254437800828
4,2023-09-18 04:00:00,0.5531427899412203,0.05879998274588224,0.26562722859463433,0.20922994257083832,0.42069879985546255,0.13534236699349375,1.8298017363687396
5,2023-09-18 05:00:00,0.4376466533126128,0.0822093144363876,0.2842122059717739,0.21260648963992773,0.5899375543708206,0.15094121215542836,1.9575686880605763
6,2023-09-18 06:00:00,0.3521686640510175,0.7352821158187012,0.37891714919906305,0.2655330453772491,0.8311444387122007,0.22158356811959634,3.1015287552117954
7,2023-09-18 07:00:00,0.37062396094686917,0.9954573297500127,0.6487857616549797,0.4109986923606004,0.7669987859663127,0.4482772385265592,4.055515465407115
8,2023-09-18 08:00:00,0.40453134469765567,0.08725742754643355,0.8624978839699744,0.4950916235720223,0.7027092378396637,0.6734892690969043,3.5926578454172295
9,2023-09-18 09:00:00,0.4101890739521513,0.09244099863141587,0.7988995811825258,0.44789774901698887,0.6761596321088571,0.8351183571026064,3.631784199453543
10,2023-09-18 10:00:00,0.4518818200368122,0.059345455149759314,0.7326502603944052,0.36378117800078447,0.6756814711863622,0.9529950341462501,3.6046406219479477
11,2023-09-18 11:00:00,0.4282272560650919,0.08784765326301912,0.6935918017548558,0.370665320695645,0.6965645543105058,0.9874690903866478,3.6358610361334334
12,2023-09-18 12:00:00,0.42189809773536463,0.23619694741645963,0.7456233200544474,0.3645091903186333,0.7277479660448803,0.9291950563805118,3.8149660548829667
13,2023-09-18 13:00:00,0.40272505187812196,0.8199810118655241,0.7323330514672126,0.3481851100189587,0.6823326786056655,0.8176401592532558,4.236013175261099
14,2023-09-18 14:00:00,0.3488997015013939,0.6754562402362269,0.7134043283975242,0.3224352090804052,0.6495943946685461,0.643767036603937,3.735202520712442
15,2023-09-18 15:00:00,0.33482110430808293,0.29357809918957695,0.7992894384056782,0.32968767615322375,0.7215300465726021,0.4916154711653881,3.3085768171074417
16,2023-09-18 16:00:00,0.33918132278322705,0.8023114248108946,0.8772977135397304,0.37152829322943404,0.8590302541194843,0.3589585892306728,4.018944659127235
17,2023-09-18 17:00:00,0.4202774498786721,0.27999886138910535,1.0399293285645594,0.4517524269597646,1.0365378151296079,0.2880466356925729,3.916736416461723
18,2023-09-18 18:00:00,0.520017523154288,0.283185561318208,0.9028792312243156,0.4996078417933807,1.0673023415881406,0.25786523285537066,3.932680748416614
19,2023-09-18 19:00:00,0.4439472256432026,0.45378182632455577,0.7630694649700638,0.4281583189932671,0.9806571101782955,0.21840935088183405,3.6622109702905137
20,2023-09-18 20:00:00,0.4091097790794275,0.33128447123081267,0.6778642425712282,0.38173596922995945,0.8584299284190541,0.20693527869103587,3.1914468562474614
21,2023-09-18 21:00:00,0.5081335307377232,0.20629653563585068,0.6007685725869502,0.3677181761192806,0.5900362974436486,0.2193831883684539,2.775972223533791
22,2023-09-18 22:00:00,0.48659594016666197,0.17606837748399212,0.47524592272129657,0.3230194667215787,0.4087344071840382,0.22217714830221286,2.329899556045174
23,2023-09-18 23:00:00,0.311870953061731,0.17213692814765985,0.33120348768823865,0.2900834765569916,0.3622840399635799,0.2132001193456678,1.872057085335381
24,2023-09-19 00:00:00,0.35392624997849026,0.08990067897165457,0.30332782449673173,0.2524265628423357,0.3860854556421192,0.2092381338899746,1.7764102365131582
25,2023-09-19 01:00:00,0.5263200259893067,0.05899456163480553,0.2831087063213462,0.22602944881987155,0.44107092704717366,0.17647298880924794,1.906827409052274
26,2023-09-19 02:00:00,0.536235704267431,0.08568350417859338,0.28036833409283635,0.21872704558294925,0.48448709445579635,0.1411223396882488,1.9453954785442749
27,2023-09-19 03:00:00,0.5393066830783533,0.08905846200968152,0.27091708715255236,0.20659644718658748,0.43329652234476296,0.12154305629296061,1.8497133608549565
28,2023-09-19 04:00:00,0.5531427899412203,0.13578231635665355,0.26562722859463433,0.20922994257083832,0.42069879985546255,0.13534236699349375,1.91554490823918
29,2023-09-19 05:00:00,0.4376466533126128,0.19368920896506261,0.2842122059717739,0.21260648963992773,0.5899375543708206,0.15094121215542836,2.081735354727243
30,2023-09-19 06:00:00,0.3521686640510175,0.4091627679997688,0.37891714919906305,0.2655330453772491,0.8311444387122007,0.22158356811959634,2.7382959720683884
31,2023-09-19 07:00:00,0.37062396094686917,1.3737999811658348,0.6487857616549797,0.4109986923606004,0.7669987859663127,0.4482772385265592,4.4769147328063825
32,2023-09-19 08:00:00,0.40453134469765567,0.2017834414021639,0.8624978839699744,0.4950916235720223,0.7027092378396637,0.6734892690969043,3.720217289630991
33,2023-09-19 09:00:00,0.4101890739521513,0.1689439527958016,0.7988995811825258,0.44789774901698887,0.6761596321088571,0.8351183571026064,3.716993436947943
34,2023-09-19 10:00:00,0.4518818200368122,0.1020145628455733,0.7326502603944052,0.36378117800078447,0.6756814711863622,0.9529950341462501,3.652165611943946
35,2023-09-19 11:00:00,0.4282272560650919,0.05627720486091715,0.6935918017548558,0.370665320695645,0.6965645543105058,0.9874690903866478,3.600697768713471
36,2023-09-19 12:00:00,0.42189809773536463,0.6783839247152956,0.7456233200544474,0.3645091903186333,0.7277479660448803,0.9291950563805118,4.307475338702596
37,2023-09-19 13:00:00,0.40272505187812196,0.7007988413196304,0.7323330514672126,0.3481851100189587,0.6823326786056655,0.8176401592532558,4.103267688683918
38,2023-09-19 14:00:00,0.3488997015013939,0.6158045840830942,0.7134043283975242,0.3224352090804052,0.6495943946685461,0.643767036603937,3.6687623133818237
39,2023-09-19 15:00:00,0.33482110430808293,0.11098786632850297,0.7992894384056782,0.32968767615322375,0.7215300465726021,0.4916154711653881,3.105207225881121
40,2023-09-19 16:00:00,0.33918132278322705,0.30828320905781376,0.8772977135397304,0.37152829322943404,0.8590302541194843,0.3589585892306728,3.468694436441902
