DateTime,Pv,Pv-Bat,Pv-#,Bat-Load,#-Load,Total_Load,Et,SOC
2023-09-18 00:00:00,1.8070644133345657,0.03713917682140777,0.0,0.0,0.0,1.769925236513158,40.03528221798034,0.5004410277247542
2023-09-18 01:00:00,1.3605859893376746,0.0,0.0,0.5441580863812663,0.0,1.9047440757189409,39.462484232315845,0.4932810529039481
2023-09-18 02:00:00,1.7399769817495407,0.0,0.0,0.20102908353801685,0.0,1.9410060652875576,39.25087467069688,0.49063593338371103
2023-09-18 03:00:00,2.011961987633657,0.16673654385357417,0.0,0.0,0.0,1.8452254437800828,39.409274387357776,0.4926159298419722
2023-09-18 04:00:00,2.115071734700297,0.285269998331557,0.0,0.0,0.0,1.82980173636874,39.68028088577275,0.4960035110721594
2023-09-18 05:00:00,2.106148775819529,0.1485800877589527,0.0,0.0,0.0,1.9575686880605765,39.82143196914376,0.497767899614297
2023-09-18 06:00:00,2.0202239865973297,0.0,0.0,1.0813047686144657,0.0,3.1015287552117954,38.683216423233795,0.4835402052904224
2023-09-18 07:00:00,2.146797810720801,0.0,0.0,1.9087176546863143,0.0,4.055515465407115,36.674039944616624,0.4584254993077078
2023-09-18 08:00:00,2.3916834600040686,0.0,0.0,1.2009743854131605,0.0,3.592657845417229,35.40985638102382,0.44262320476279776
2023-09-18 09:00:00,2.7585162139911517,0.0,0.0,0.8732679854623915,0.0,3.631784199453543,34.490626922642356,0.4311328365330295
2023-09-18 10:00:00,3.2509313522260648,0.0,0.0,0.3537092697218833,0.0,3.604640621947948,34.11830137556669,0.4264787671945836
2023-09-18 11:00:00,3.758879048512682,0.12301801237924836,0.0,0.0,0.0,3.635861036133434,34.23516848732697,0.42793960609158715
2023-09-18 12:00:00,4.348785774518937,0.5338197196359702,0.0,0.0,0.0,3.814966054882967,34.74229722098114,0.4342787152622643
2023-09-18 13:00:00,4.815092996028643,0.5790798207675438,0.0,0.0,0.0,4.236013175261099,35.29242305071031,0.4411552881338789
2023-09-18 14:00:00,4.953233618701256,1.2180310979888134,0.0,0.0,0.0,3.735202520712442,36.44955259379969,0.45561940742249607
2023-09-18 15:00:00,4.883171867489308,1.5745950503818662,0.0,0.0,0.0,3.3085768171074417,37.94541789166246,0.47431772364578073
2023-09-18 16:00:00,4.7100003692107215,0.6910557100834867,0.0,0.0,0.0,4.018944659127235,38.60192081624177,0.48252401020302216
2023-09-18 17:00:00,4.392739609005678,0.4760031925439545,0.0,0.0,0.0,3.916736416461723,39.05412384915853,0.48817654811448163
2023-09-18 18:00:00,3.677250498751593,0.0,0.0,0.25543024966502115,0.0,3.932680748416614,38.785249902142716,0.48481562377678394
2023-09-18 19:00:00,3.0146381818650156,0.0,0.0,0.647572788425498,0.0,3.6622109702905137,38.103594335379036,0.4762949291922379
2023-09-18 20:00:00,2.7585162139911517,0.0,0.0,0.43293064225630973,0.0,3.1914468562474614,37.64787786984608,0.470598473373076
2023-09-18 21:00:00,2.6468139880022927,0.0,0.0,0.1291582355314982,0.0,2.775972223533791,37.5119218324445,0.46889902290555624
2023-09-18 22:00:00,2.5093343252467735,0.1794347692015994,0.0,0.0,0.0,2.329899556045174,37.68238486318602,0.4710298107898253
2023-09-18 23:00:00,2.3136901897869957,0.44163310445161463,0.0,0.0,0.0,1.872057085335381,38.101936312415056,0.4762742039051882
2023-09-19 00:00:00,1.9432221562558971,0.1668119197427389,0.0,0.0,0.0,1.7764102365131582,38.260407636170655,0.4782550954521332
2023-09-19 01:00:00,1.2895327982500868,0.0,0.0,0.6172946108021873,0.0,1.906827409052274,37.610623835326244,0.47013279794157803
2023-09-19 02:00:00,1.2644163214005206,0.0,0.0,0.6809791571437542,0.0,1.9453954785442749,36.89380366991177,0.4611725458738971
2023-09-19 03:00:00,1.288871838332993,0.0,0.0,0.5608415225219634,0.0,1.8497133608549563,36.30344417252023,0.4537930521565029
2023-09-19 04:00:00,1.2541714426855661,0.0,0.0,0.6613734655536139,0.0,1.91554490823918,35.60726157720064,0.445090769715008
2023-09-19 05:00:00,1.2310378455872817,0.0,0.0,0.8506975091399611,0.0,2.081735354727243,34.71179051494805,0.43389738143685064
2023-09-19 06:00:00,1.775999297231155,0.0,0.0,0.9622966748372335,0.0,2.7382959720683884,33.69884664669833,0.4212355830837291
2023-09-19 07:00:00,1.9495012754682883,0.0,0.0,2.527413457338095,0.0,4.476914732806383,31.038411428447702,0.3879801428555963
2023-09-19 08:00:00,2.239993159031032,0.0,0.0,1.480224130599959,0.0,3.720217289630991,29.48028076465827,0.3685035095582284
2023-09-19 09:00:00,2.606495433059568,0.0,0.0,1.1104980038883752,0.0,3.716993436947943,28.31133549740735,0.3538916937175919
2023-09-19 10:00:00,3.39634253398671,0.0,0.0,0.2558230779572357,0.0,3.652165611943946,28.04204804692605,0.3505256005865756
2023-09-19 11:00:00,4.35176009414586,0.7510623254323887,0.0,0.0,0.0,3.600697768713471,28.755557256086817,0.35944446570108524
2023-09-19 12:00:00,5.004788492234576,0.6973131535319803,0.0,0.0,0.0,4.307475338702596,29.4180047519422,0.36772505939927747
2023-09-19 13:00:00,4.985290174680307,0.882022485996389,0.0,0.0,0.0,4.103267688683918,30.25592611363877,0.3781990764204846
2023-09-19 14:00:00,3.4174932513337133,0.0,0.0,0.25126906204811084,0.0,3.668762313381824,29.99143236411444,0.37489290455143054
2023-09-19 15:00:00,5.014041931073889,1.9088347051927679,0.0,0.0,0.0,3.105207225881121,31.80482533404757,0.39756031667559466
2023-09-19 16:00:00,4.749657964236352,1.2809635277944502,0.0,0.0,0.0,3.468694436441902,33.0217406854523,0.41277175856815373
2023-09-19 17:00:00,3.9707167019412584,0.22035892184317118,0.0,0.0,0.0,3.750357780098087,33.23108166120331,0.4153885207650414
2023-09-19 18:00:00,2.82527316561763,0.0,0.0,0.9849846063984757,0.0,3.8102577720161057,32.194255759731234,0.40242819699664045
2023-09-19 19:00:00,2.039722304151598,0.0,0.0,1.5241217632855597,0.0,3.5638440674371576,30.589917061535907,0.3823739632691988
2023-09-19 20:00:00,1.9111656002768456,0.0,0.0,1.2909123484075908,0.0,3.2020779486844364,29.23106195794897,0.3653882744743621
2023-09-19 21:00:00,2.0592206217058666,0.0,0.0,0.6349778539868192,0.0,2.694198475692686,28.562664216910214,0.3570333027113777
2023-09-19 22:00:00,2.193725964834463,0.0,0.0,0.09799139690585301,0.0,2.291717361740316,28.459515378061948,0.3557439422257743
2023-09-19 23:00:00,2.2727106749271777,0.5022652562584635,0.0,0.0,0.0,1.7704454186687142,28.93666737150749,0.3617083421438436
2023-09-20 00:00:00,2.2918785125228993,0.5098236488533694,0.0,0.0,0.0,1.78205486366953,29.420999837918192,0.3677624979739774
2023-09-20 01:00:00,2.368880342864332,0.42512581564037477,0.0,0.0,0.0,1.9437545272239571,29.824869362776546,0.37281086703470684
2023-09-20 02:00:00,2.087311418182354,0.16036714233157712,0.0,0.0,0.0,1.926944275850777,29.977218147991543,0.3747152268498943
2023-09-20 03:00:00,1.431308700466716,0.0,0.0,0.4272663340765477,0.0,1.8585750345432637,29.527464112121493,0.36909330140151864
2023-09-20 04:00:00,1.4636957364043142,0.0,0.0,0.36570787837475094,0.0,1.829403614779065,29.142508450674388,0.36428135563342984
2023-09-20 05:00:00,1.5007094917615695,0.0,0.0,0.46957466374474954,0.0,1.970284155506319,28.64821933094307,0.3581027416367884
2023-09-20 06:00:00,2.170922847694726,0.0,0.0,0.907699823263159,0.0,3.078622670957885,27.692745832771326,0.3461593229096416
2023-09-20 07:00:00,2.559897758904452,0.0,0.0,2.071679441218308,0.0,4.63157720012276,25.512030631488898,0.3189003828936112
2023-09-20 08:00:00,2.99910562381331,0.0,0.0,1.8014991995373113,0.0,4.800604823350621,23.61571568460752,0.295196446057594
2023-09-20 09:00:00,3.3781661362666298,0.0,0.0,0.32225731472475205,0.0,3.700423450991382,23.276497458581463,0.2909562182322683
2023-09-20 10:00:00,3.9280847872887055,0.3212891444026167,0.0,0.0,0.0,3.606795642886089,23.581722145763948,0.2947715268220493
2023-09-20 11:00:00,4.545421349854355,0.8134186693135765,0.0,0.0,0.0,3.732002680540779,24.354469881611845,0.3044308735201481
2023-09-20 12:00:00,4.800221397894032,0.992059228545326,0.0,0.0,0.0,3.808162169348706,25.296926148729906,0.3162115768591238
2023-09-20 13:00:00,3.3236369431063872,0.0,0.0,0.140260856943919,0.0,3.4638978000503062,25.14928314142052,0.31436603926775647
2023-09-20 14:00:00,3.2833183881636625,0.16690197786355077,0.0,0.0,0.0,3.1164164103001117,25.30784002039089,0.31634800025488613
2023-09-20 15:00:00,4.993882653602527,1.698671998210607,0.0,0.0,0.0,3.29521065539192,26.921578418690967,0.33651973023363707
2023-09-20 16:00:00,4.808813876816251,0.41750470000584095,0.0,0.0,0.0,4.39130917681041,27.318207883696516,0.34147759854620646
